Price,Close
Ticker,OLED
Date,
2007-01-03,14.600000381469727
2007-01-04,14.569999694824219
2007-01-05,14.539999961853027
2007-01-08,14.710000038146973
2007-01-09,14.609999656677246
2007-01-10,14.420000076293945
2007-01-11,14.470000267028809
2007-01-12,14.15999984741211
2007-01-16,14.260000228881836
2007-01-17,14.229999542236328
2007-01-18,13.800000190734863
2007-01-19,13.609999656677246
2007-01-22,13.550000190734863
2007-01-23,13.5
2007-01-24,13.789999961853027
2007-01-25,13.430000305175781
2007-01-26,13.420000076293945
2007-01-29,13.09000015258789
2007-01-30,13.329999923706055
2007-01-31,13.470000267028809
2007-02-01,13.5
2007-02-02,13.779999732971191
2007-02-05,13.819999694824219
2007-02-06,14.119999885559082
2007-02-07,13.760000228881836
2007-02-08,13.710000038146973
2007-02-09,13.149999618530273
2007-02-12,13.100000381469727
2007-02-13,13.260000228881836
2007-02-14,13.430000305175781
2007-02-15,13.430000305175781
2007-02-16,13.460000038146973
2007-02-20,13.979999542236328
2007-02-21,13.75
2007-02-22,13.739999771118164
2007-02-23,13.859999656677246
2007-02-26,13.90999984741211
2007-02-27,13.069999694824219
2007-02-28,13.020000457763672
2007-03-01,12.640000343322754
2007-03-02,12.260000228881836
2007-03-05,12.029999732971191
2007-03-06,12.260000228881836
2007-03-07,12.1899995803833
2007-03-08,12.40999984741211
2007-03-09,12.380000114440918
2007-03-12,12.699999809265137
2007-03-13,12.119999885559082
2007-03-14,12.5
2007-03-15,12.569999694824219
2007-03-16,12.270000457763672
2007-03-19,12.510000228881836
2007-03-20,12.9399995803833
2007-03-21,13.239999771118164
2007-03-22,14.0
2007-03-23,14.8100004196167
2007-03-26,14.710000038146973
2007-03-27,14.510000228881836
2007-03-28,14.619999885559082
2007-03-29,15.800000190734863
2007-03-30,15.09000015258789
2007-04-02,14.800000190734863
2007-04-03,15.119999885559082
2007-04-04,15.859999656677246
2007-04-05,15.9399995803833
2007-04-09,15.510000228881836
2007-04-10,15.84000015258789
2007-04-11,15.930000305175781
2007-04-12,16.34000015258789
2007-04-13,16.329999923706055
2007-04-16,16.68000030517578
2007-04-17,17.639999389648438
2007-04-18,17.700000762939453
2007-04-19,16.700000762939453
2007-04-20,16.899999618530273
2007-04-23,16.950000762939453
2007-04-24,17.0
2007-04-25,17.3799991607666
2007-04-26,16.649999618530273
2007-04-27,16.139999389648438
2007-04-30,15.579999923706055
2007-05-01,16.010000228881836
2007-05-02,16.5
2007-05-03,16.760000228881836
2007-05-04,16.940000534057617
2007-05-07,17.309999465942383
2007-05-08,17.350000381469727
2007-05-09,16.90999984741211
2007-05-10,16.350000381469727
2007-05-11,16.100000381469727
2007-05-14,15.5600004196167
2007-05-15,15.59000015258789
2007-05-16,15.600000381469727
2007-05-17,16.1200008392334
2007-05-18,16.040000915527344
2007-05-21,16.31999969482422
2007-05-22,16.0
2007-05-23,15.390000343322754
2007-05-24,14.649999618530273
2007-05-25,15.420000076293945
2007-05-29,15.829999923706055
2007-05-30,16.260000228881836
2007-05-31,15.609999656677246
2007-06-01,15.34000015258789
2007-06-04,15.470000267028809
2007-06-05,15.180000305175781
2007-06-06,15.020000457763672
2007-06-07,14.609999656677246
2007-06-08,14.880000114440918
2007-06-11,14.59000015258789
2007-06-12,14.720000267028809
2007-06-13,14.960000038146973
2007-06-14,15.5
2007-06-15,15.5600004196167
2007-06-18,15.229999542236328
2007-06-19,16.790000915527344
2007-06-20,16.530000686645508
2007-06-21,16.479999542236328
2007-06-22,16.299999237060547
2007-06-25,16.09000015258789
2007-06-26,16.030000686645508
2007-06-27,16.3799991607666
2007-06-28,16.110000610351562
2007-06-29,15.710000038146973
2007-07-02,15.979999542236328
2007-07-03,16.09000015258789
2007-07-05,15.600000381469727
2007-07-06,15.539999961853027
2007-07-09,15.390000343322754
2007-07-10,15.100000381469727
2007-07-11,15.180000305175781
2007-07-12,15.300000190734863
2007-07-13,15.359999656677246
2007-07-16,15.15999984741211
2007-07-17,15.210000038146973
2007-07-18,15.65999984741211
2007-07-19,15.90999984741211
2007-07-20,15.949999809265137
2007-07-23,15.779999732971191
2007-07-24,15.149999618530273
2007-07-25,14.789999961853027
2007-07-26,14.140000343322754
2007-07-27,13.800000190734863
2007-07-30,13.859999656677246
2007-07-31,15.020000457763672
2007-08-01,15.039999961853027
2007-08-02,15.960000038146973
2007-08-03,14.8100004196167
2007-08-06,15.760000228881836
2007-08-07,17.0
2007-08-08,18.440000534057617
2007-08-09,18.030000686645508
2007-08-10,16.84000015258789
2007-08-13,15.600000381469727
2007-08-14,15.050000190734863
2007-08-15,14.819999694824219
2007-08-16,16.010000228881836
2007-08-17,16.25
2007-08-20,16.299999237060547
2007-08-21,15.640000343322754
2007-08-22,15.59000015258789
2007-08-23,14.9399995803833
2007-08-24,15.25
2007-08-27,14.9399995803833
2007-08-28,14.399999618530273
2007-08-29,15.0
2007-08-30,15.109999656677246
2007-08-31,14.760000228881836
2007-09-04,15.029999732971191
2007-09-05,14.880000114440918
2007-09-06,15.289999961853027
2007-09-07,14.800000190734863
2007-09-10,15.0600004196167
2007-09-11,15.40999984741211
2007-09-12,15.1899995803833
2007-09-13,15.350000381469727
2007-09-14,15.199999809265137
2007-09-17,15.130000114440918
2007-09-18,16.399999618530273
2007-09-19,16.299999237060547
2007-09-20,16.18000030517578
2007-09-21,16.06999969482422
2007-09-24,16.06999969482422
2007-09-25,15.890000343322754
2007-09-26,16.479999542236328
2007-09-27,17.520000457763672
2007-09-28,17.719999313354492
2007-10-01,17.31999969482422
2007-10-02,17.760000228881836
2007-10-03,17.200000762939453
2007-10-04,17.5
2007-10-05,18.25
2007-10-08,18.110000610351562
2007-10-09,19.389999389648438
2007-10-10,19.0
2007-10-11,18.260000228881836
2007-10-12,18.420000076293945
2007-10-15,18.15999984741211
2007-10-16,18.219999313354492
2007-10-17,18.799999237060547
2007-10-18,18.8700008392334
2007-10-19,17.979999542236328
2007-10-22,18.1200008392334
2007-10-23,18.829999923706055
2007-10-24,18.15999984741211
2007-10-25,17.889999389648438
2007-10-26,18.809999465942383
2007-10-29,18.579999923706055
2007-10-30,17.950000762939453
2007-10-31,18.75
2007-11-01,17.6200008392334
2007-11-02,17.420000076293945
2007-11-05,17.290000915527344
2007-11-06,17.979999542236328
2007-11-07,17.020000457763672
2007-11-08,16.809999465942383
2007-11-09,17.229999542236328
2007-11-12,16.969999313354492
2007-11-13,17.719999313354492
2007-11-14,17.399999618530273
2007-11-15,17.209999084472656
2007-11-16,17.3700008392334
2007-11-19,17.059999465942383
2007-11-20,16.440000534057617
2007-11-21,15.84000015258789
2007-11-23,16.200000762939453
2007-11-26,15.670000076293945
2007-11-27,16.65999984741211
2007-11-28,17.110000610351562
2007-11-29,16.950000762939453
2007-11-30,16.559999465942383
2007-12-03,16.09000015258789
2007-12-04,16.65999984741211
2007-12-05,16.59000015258789
2007-12-06,17.399999618530273
2007-12-07,17.639999389648438
2007-12-10,17.68000030517578
2007-12-11,16.8700008392334
2007-12-12,18.059999465942383
2007-12-13,18.040000915527344
2007-12-14,17.719999313354492
2007-12-17,16.670000076293945
2007-12-18,17.5
2007-12-19,18.18000030517578
2007-12-20,19.0
2007-12-21,19.5
2007-12-24,20.200000762939453
2007-12-26,20.950000762939453
2007-12-27,21.8799991607666
2007-12-28,20.81999969482422
2007-12-31,20.670000076293945
2008-01-02,19.950000762939453
2008-01-03,20.780000686645508
2008-01-04,19.809999465942383
2008-01-07,19.84000015258789
2008-01-08,17.479999542236328
2008-01-09,18.34000015258789
2008-01-10,18.149999618530273
2008-01-11,17.31999969482422
2008-01-14,17.299999237060547
2008-01-15,16.81999969482422
2008-01-16,17.06999969482422
2008-01-17,15.850000381469727
2008-01-18,15.489999771118164
2008-01-22,16.1200008392334
2008-01-23,15.539999961853027
2008-01-24,16.700000762939453
2008-01-25,16.389999389648438
2008-01-28,16.65999984741211
2008-01-29,16.59000015258789
2008-01-30,15.920000076293945
2008-01-31,16.170000076293945
2008-02-01,16.3799991607666
2008-02-04,15.8100004196167
2008-02-05,15.899999618530273
2008-02-06,15.510000228881836
2008-02-07,15.880000114440918
2008-02-08,15.699999809265137
2008-02-11,16.600000381469727
2008-02-12,16.40999984741211
2008-02-13,18.079999923706055
2008-02-14,17.559999465942383
2008-02-15,16.989999771118164
2008-02-19,17.469999313354492
2008-02-20,18.350000381469727
2008-02-21,17.469999313354492
2008-02-22,17.40999984741211
2008-02-25,17.889999389648438
2008-02-26,18.34000015258789
2008-02-27,18.139999389648438
2008-02-28,17.959999084472656
2008-02-29,17.040000915527344
2008-03-03,16.780000686645508
2008-03-04,16.770000457763672
2008-03-05,16.899999618530273
2008-03-06,16.170000076293945
2008-03-07,16.270000457763672
2008-03-10,15.829999923706055
2008-03-11,16.5
2008-03-12,16.350000381469727
2008-03-13,16.799999237060547
2008-03-14,14.829999923706055
2008-03-17,13.529999732971191
2008-03-18,14.0
2008-03-19,13.430000305175781
2008-03-20,13.59000015258789
2008-03-24,14.020000457763672
2008-03-25,14.199999809265137
2008-03-26,14.520000457763672
2008-03-27,13.859999656677246
2008-03-28,14.100000381469727
2008-03-31,14.319999694824219
2008-04-01,14.640000343322754
2008-04-02,15.5600004196167
2008-04-03,15.140000343322754
2008-04-04,15.149999618530273
2008-04-07,15.25
2008-04-08,15.029999732971191
2008-04-09,14.989999771118164
2008-04-10,14.640000343322754
2008-04-11,14.25
2008-04-14,14.210000038146973
2008-04-15,14.3100004196167
2008-04-16,15.300000190734863
2008-04-17,14.84000015258789
2008-04-18,15.039999961853027
2008-04-21,15.229999542236328
2008-04-22,14.579999923706055
2008-04-23,14.609999656677246
2008-04-24,14.800000190734863
2008-04-25,14.789999961853027
2008-04-28,15.1899995803833
2008-04-29,15.09000015258789
2008-04-30,14.789999961853027
2008-05-01,15.479999542236328
2008-05-02,15.949999809265137
2008-05-05,15.680000305175781
2008-05-06,15.569999694824219
2008-05-07,15.380000114440918
2008-05-08,15.119999885559082
2008-05-09,14.220000267028809
